Index,Number_Classes,Number_Students,Average_Students,Question_Per_Student,PeerEval_Per_Student,RollC_Per_Student,Feedback_Per_Student,Total_Interaction
1,31,1072,34.58064516,0.670708955,35.29384328,17.3255597,0.031716418,71066
2,29,669,23.06896552,0,0,3.24813154,0,2173
3,30,890,29.66666667,0,0,0.875280899,0,779
4,4,136,34,0.036764706,0,12.52205882,0.007352941,1973
5,33,1543,46.75757576,0.097213221,0,0.762151653,0.003240441,13415
6,92,2277,24.75,0.011857708,0,2.548089592,0.000878349,6122
7,6,100,16.66666667,0,0,11.46,0,1146
8,10,134,13.4,0,0,3.985074627,0,534
9,1,34,34,1.352941176,57.17647059,0,0,1997
10,22,670,30.45454545,1.335820896,51.87014925,8.295522388,0.407462687,60633
11,6,154,25.66666667,0.006493506,0,7.62987013,0.006493506,1176
12,27,1019,37.74074074,0.001962709,0,1.084396467,0.000981354,1106
13,37,1663,44.94594595,0.04750451,0,0.108238124,0.001202646,8713
14,37,1515,40.94594595,0,0,0.106930693,0.000660066,163
15,4,117,29.25,0.025641026,0,2.965811966,0.085470085,357
16,11,461,41.90909091,0.505422993,24.56832972,1.30802603,0.062906725,16323
17,10,332,33.2,1.93373494,1.256024096,0.237951807,0.078313253,23811
18,7,431,61.57142857,0.164733179,49.82598608,0,0,21475
19,33,1440,43.63636364,0.405555556,22.59513889,10.28680556,0.009027778,51734
20,20,833,41.65,0.054021609,12.16086435,2.168067227,0.00120048,13666
21,21,898,42.76190476,0.174832962,9.14142539,10.68819599,0.632516704,23871
22,39,1046,26.82051282,0.109942639,0,0.656787763,0.015296367,2348
23,25,788,31.52,0,0,0.229695431,0,181
24,28,1053,37.60714286,0.284900285,6.905982906,5.042735043,0.017094017,28442
25,26,1116,42.92307692,0,0,3.859318996,0.000896057,4308
26,17,738,43.41176471,0,0,3.441734417,0.008130081,2546
27,26,1164,44.76923077,0,0,1.008591065,0,1174
28,36,2222,61.72222222,0,0,0.121512151,0,270
29,26,630,24.23076923,0.012698413,0.377777778,0.088888889,0,2313
30,23,684,29.73913043,0.051169591,0,2.388888889,0.010233918,8361
31,30,1049,34.96666667,0.52049571,0,0.27264061,0.003813155,31431
32,2,96,48,0.041666667,0,21.30208333,0.083333333,2146
33,5,53,10.6,0.018867925,0,4.188679245,0,222
34,3,112,37.33333333,0.383928571,42.85714286,5.482142857,0,5862
35,36,1564,43.44444444,0.077365729,0,3.861892583,0.485294118,28083
36,39,574,14.71794872,0,0,0.897212544,0,515
37,41,998,24.34146341,0.249498998,17.6753507,4.80761523,0.012024048,29411
38,28,770,27.5,0,0,7.884415584,0.038961039,6101
39,46,821,17.84782609,0.085261876,0,5.661388551,0.06090134,5647
40,38,1481,38.97368421,0.015530047,0,0.96353815,0.006752194,1768
41,50,1043,20.86,0,0,0.715244487,0.000958773,747
42,47,2036,43.31914894,0,0,0.25589391,0,521
43,49,1702,34.73469388,0,0,0.19800235,0,337
44,8,385,48.125,0,0,0.571428571,0,220
45,46,1975,42.93478261,0.631898734,2.169620253,9.533670886,0.010632911,248212
46,14,372,26.57142857,0.14516129,0,6.241935484,0,2858
47,29,1407,48.51724138,0.012082445,0,1.638948117,0.000710732,2617
48,19,527,27.73684211,0.077798861,0,3.639468691,0.187855787,3441
49,37,746,20.16216216,0.320375335,0,0.731903485,0.004021448,8570
50,4,154,38.5,0.12987013,0,3.194805195,0.74025974,4868
51,25,1044,41.76,0,0,0.38697318,0.000957854,405
52,8,412,51.5,0.152912621,0,0.922330097,0.009708738,3606
53,13,416,32,0.019230769,0,0.375,0.03125,506
54,4,204,51,0.328431373,0,0.225490196,0.857843137,1827
55,49,1152,23.51020408,0.126736111,6.25,1.410590278,0.010416667,22559
56,28,677,24.17857143,0.446085672,8.29098966,3.41506647,1.248153619,55588
57,28,1020,36.42857143,0.045098039,0,13.30294118,0.356862745,18233
58,14,544,38.85714286,1.674632353,0,11.00919118,0.220588235,90057
59,43,929,21.60465116,0.248654467,0,2.882669537,0.049515608,11226
60,40,1075,26.875,0.046511628,0,2.008372093,0.046511628,39220
61,42,939,22.35714286,0.03514377,0,1.867944622,0.161874334,2463
62,36,824,22.88888889,0.072815534,0,1.049757282,0.07038835,14614
63,15,639,42.6,0.118935837,0,1.241001565,0.147104851,6105
64,15,454,30.26666667,0.074889868,0,1.718061674,0.110132159,2204
65,19,605,31.84210526,0,0,1.190082645,0.041322314,745
66,20,647,32.35,0,0,1.109737249,0,718
67,38,1426,37.52631579,0.002103787,0,0.446002805,0.002805049,701
68,12,502,41.83333333,0,0,1.19123506,0,598
69,17,627,36.88235294,0.020733652,0,0.822966507,0.011164274,966
70,16,471,29.4375,0.012738854,0,1.072186837,0.214437367,630
71,49,1804,36.81632653,0.035476718,0,0.276607539,0.000554324,2064
72,3,114,38,0.00877193,0,4.254385965,0,517
73,27,608,22.51851852,0.001644737,0,0.679276316,0.001644737,414
74,2,86,43,0,0,4.197674419,0,361
75,14,451,32.21428571,0.017738359,0,0.78713969,0.006651885,543
76,20,563,28.15,0,0,0.545293073,0.008880995,312
77,24,1022,42.58333333,0.012720157,0,0.28962818,0.000978474,720
78,10,465,46.5,0.015053763,0,0.617204301,0.002150538,480
79,12,412,34.33333333,0.009708738,0,0.57038835,0.002427184,313
80,13,465,35.76923077,0.008602151,0,0.438709677,0.010752688,251
81,39,1371,35.15384615,0.018234865,0,0.144420131,0.005105762,2600
82,3,155,51.66666667,0.025806452,0,1.225806452,0,666
83,4,101,25.25,0,0,1.306930693,0.00990099,133
84,37,1132,30.59459459,0.076855124,0,0.114840989,0,2763
85,4,123,30.75,0.032520325,0,1.032520325,0,233
